statsDataId,表章事項,男女,全国、都道府県、市区町村,時間軸（年次）,単位,値
0004050397,2025_01,0,05346,2025000000,人,2525
0004050397,2025_01,0,05348,2025000000,人,13140
0004050397,2025_01,0,05349,2025000000,人,5635
0004050397,2025_01,0,05361,2025000000,人,7255
0004050397,2025_01,0,05363,2025000000,人,4954
0004050397,2025_01,0,05366,2025000000,人,4013
0004050397,2025_01,0,05368,2025000000,人,2825
0004050397,2025_01,0,05434,2025000000,人,16810
0004050397,2025_01,0,05463,2025000000,人,12280
0004050397,2025_01,0,05464,2025000000,人,2293
0004050397,2025_01,0,06000,2025000000,人,993127
0004050397,2025_01,0,06201,2025000000,人,235685
0004050397,2025_01,0,06202,2025000000,人,76114
0004050397,2025_01,0,06203,2025000000,人,113149
0004050397,2025_01,0,06204,2025000000,人,92122
0004050397,2025_01,0,06205,2025000000,人,31653
0004050397,2025_01,0,06206,2025000000,人,38176
0004050397,2025_01,0,06207,2025000000,人,26753
0004050397,2025_01,0,06208,2025000000,人,20212
0004050397,2025_01,0,06209,2025000000,人,24580
0004050397,2025_01,0,06210,2025000000,人,59773
0004050397,2025_01,0,06211,2025000000,人,47405
0004050397,2025_01,0,06212,2025000000,人,12796
0004050397,2025_01,0,06213,2025000000,人,28066
0004050397,2025_01,0,06301,2025000000,人,12888
0004050397,2025_01,0,06302,2025000000,人,10017
0004050397,2025_01,0,06321,2025000000,人,16192
0004050397,2025_01,0,06322,2025000000,人,4251
0004050397,2025_01,0,06323,2025000000,人,5453
0004050397,2025_01,0,06324,2025000000,人,6695
0004050397,2025_01,0,06341,2025000000,人,5563
0004050397,2025_01,0,06361,2025000000,人,4408
0004050397,2025_01,0,06362,2025000000,人,6984
0004050397,2025_01,0,06363,2025000000,人,4480
0004050397,2025_01,0,06364,2025000000,人,6135
0004050397,2025_01,0,06365,2025000000,人,2572
0004050397,2025_01,0,06366,2025000000,人,3417
0004050397,2025_01,0,06367,2025000000,人,3554
0004050397,2025_01,0,06381,2025000000,人,20417
0004050397,2025_01,0,06382,2025000000,人,12953
0004050397,2025_01,0,06401,2025000000,人,6138
0004050397,2025_01,0,06402,2025000000,人,11630
0004050397,2025_01,0,06403,2025000000,人,5871
0004050397,2025_01,0,06426,2025000000,人,7147
0004050397,2025_01,0,06428,2025000000,人,18356
0004050397,2025_01,0,06461,2025000000,人,11522
0004050397,2025_01,0,07000,2025000000,人,1711937
0004050397,2025_01,0,07201,2025000000,人,265803
